1,Tool Crib,0,0, 2008-04-30 00:00:00
2,Metal Racks,0,0, 2008-04-30 00:00:00
3,Paint Shop,0,0, 2008-04-30 00:00:00
4,Paint Storage,0,0, 2008-04-30 00:00:00
5,Metal Storage,0,0, 2008-04-30 00:00:00
6,Miscellaneous Storage,0,0, 2008-04-30 00:00:00
7,Finished Goods,0,0, 2008-04-30 00:00:00
10,Frame Forming,22.596,0, 2008-04-30 00:00:00
20,Frame Welding,25108,0, 2008-04-30 00:00:00
30,Debur and Polish,14.512,0, 2008-04-30 00:00:00
40,Paint,15.7512,0, 2008-04-30 00:00:00
45,Specialized Paint,1880,0, 2008-04-30 00:00:00
50,Subassembly,12.2512,0, 2008-04-30 00:00:00
60,Final Assembly,12.2512,0, 2008-04-30 00:00:00
